label,intensity_mean,intensity_sdeviation
1,29625.000472143533,2383.0526687823167
2,30676.091836734693,2205.771651826496
3,32152.275229357798,3103.460715890325
4,28819.081395348836,2053.7691240306995
5,28582.4609375,2815.805052240677
6,31576.787234042553,3643.4371846320764
7,26743.12429378531,1944.907393646749
8,26767.251533742332,1908.5908827167943
9,49555.69965703087,5803.908621866803
10,29792.390386869873,2213.4496030790174
11,54588.35443645084,7479.182584796611
12,27559.94041450777,2589.2341534961483
13,27227.299798792756,2499.042447737437
14,27467.882105263157,2186.5558129036945
15,30301.110817941953,2221.1002285323375
16,31690.984174085064,2434.88055421626
17,34473.29268292683,3057.286155447004
18,31155.45321637427,2627.5306502468684
19,26621.619565217392,1796.8305286664174
20,29607.630086313195,2103.032704485478
21,26787.490683229815,1917.4962230578574
22,32630.27638190955,3323.049401622415
23,26842.75706214689,1891.798093277124
24,28567.52519379845,1817.8657041590066
25,29451.107505070995,1946.3108262186815
26,30638.23076923077,3197.739935189744
27,34409.934131736525,2982.0850039139896
28,30059.506206896553,2065.5486368857996
29,33081.42892561983,2999.3099724876947
30,27331.834482758622,1709.3710709843924
31,28410.626524390245,2202.1180275276597
32,32584.924665856623,2760.478581107794
33,30534.27157894737,2583.8661860277334
34,32340.210484511517,2398.779165137752
35,30607.72265625,3167.7278432190865
36,39563.19060052219,3422.9548535919785
37,35350.77202643172,4265.716999475464
38,29556.701675257733,2783.079931515331
39,38704.98033836306,3970.512538001641
40,31134.589985994397,2648.781488185581
41,31058.58309037901,2615.0538134381904
42,26677.584210526315,1799.9641972355005
43,33260.27149321267,2331.3827759531237
44,35292.8589511754,4063.8701256843237
45,32915.547286821704,2573.7736888181
46,30112.475160724724,2504.1369498579097
47,29643.22537313433,1996.302181149107
48,33031.176428054954,2742.6988796763912
49,35112.323065364384,4235.7663758989365
50,29343.400527009224,1864.0357085757698
51,35940.93819188192,2981.0761852382298
52,29092.32951653944,1934.416133008296
53,30646.573236889693,2493.8006335653413
54,29480.15734720416,2602.1787385199823
55,37216.71302428256,4699.304484576777
56,37290.6216505895,3229.91773750393
57,32005.984575835475,2013.7125837472545
58,30990.30711297071,2185.2716955806413
59,31380.83935742972,2225.4359634026796
60,33309.13864701943,1993.7920791436702
61,32421.131313131315,2419.328576389458
62,30776.020392156865,2662.5046317507063
63,32024.7596941562,2093.5750605792277
64,32177.062015503878,2166.8052324360947
65,33202.350052246606,1985.9578854581678
66,31816.919922817175,2077.9326891969295
67,29559.078873239436,2094.946651505057
68,34028.5639666919,2394.8388444157986
69,36998.86607142857,2461.404487494212
70,25466.2091152815,1881.5314435036112
71,32924.39947552448,1959.1443375487615
72,36060.872191011236,3073.73665775862
73,44484.9655511811,6957.751495548923
74,29520.521227955585,1739.39023003607
75,34379.76651982379,2309.6736955354195
76,24784.87868852459,1677.6899071722962
77,42285.39773645918,3208.294331011526
78,30862.96853625171,2180.251327232534
79,31949.573698146512,2522.5207529162935
80,27836.424528301886,1871.5371905534705
81,38680.501303214594,3443.338617617509
82,30953.486803519063,2736.3988467788886
83,42178.893258426964,5386.480671172005
84,29952.377868852458,2047.8566477754446
85,36175.38917525773,2500.3025962409874
86,34758.05147058824,2431.002895814528
87,42373.740515933234,3970.5506583525143
88,36486.77448071216,2565.954719540381
89,26630.57894736842,1804.3737402889972
90,33768.53676064124,2098.8800419550166
91,35067.03304597701,2161.0195950060047
92,24445.46168051708,1732.4447601206705
93,28196.316526610644,2047.583962792455
94,33423.028657616895,1907.093376579058
95,40372.46341463415,2797.4955663563546
96,32052.531914893618,2707.2351557600905
97,27929.298185941043,1935.5306990130914
98,38897.976642335765,2937.162131928614
99,37864.60794362588,2662.0656097732954
100,42294.561643835616,2809.6370463648345
101,38791.15171898356,3365.0951516742302
102,42657.59128065395,3420.5386997425176
103,29202.759170653906,1754.4759877077292
104,29157.144298688192,1829.7075542203531
105,36701.93234672304,3457.6646588757562
106,31745.585076708507,2090.545946144993
107,41491.563794983645,5059.67240153112
108,26996.10113780025,1694.2139079832164
109,26684.79938271605,2020.3166848995654
110,40216.89565217392,3128.199333062457
111,28514.41407307172,2248.1493526675176
112,32229.286415711947,1800.7557646327336
113,33119.11612364244,2808.1883903693483
114,29640.99550561798,2244.656013781292
115,30980.226130653267,1883.2167375326767
116,33376.00637755102,2682.3903858978633
117,31214.286085825748,2088.903638826632
118,35939.98779779198,2453.9771445787565
119,33258.04387755102,3830.9075528766034
120,31079.994444444445,2410.412481407423
121,33185.36650485437,2103.5663182408343
122,38882.45735981308,2807.822077597421
123,38847.30346820809,4988.361704468938
124,36498.39279588336,3730.0771362833657
125,28656.128254580522,1876.672879683761
126,36453.68085106383,2842.5572275261193
127,31255.680251945167,2616.7313543340447
128,32822.0004568296,1904.9361929052766
129,34072.69397787792,3100.213438648831
130,33098.89844389844,2391.4985585987133
131,26839.988593155893,1902.7926604375818
132,30221.50915141431,1959.870717237654
133,31862.465846994535,2131.3307953520693
134,40893.26890101325,5296.271854565834
135,30108.244565217392,2510.968978686711
136,35846.92900092507,5019.0383669447
137,31328.257299270073,1836.605821820782
138,34915.52363367799,3972.602410036804
139,35318.37837837838,3435.840064597579
140,34612.28189300412,2762.6825807420423
141,34321.65941422594,3923.5015149172323
142,34156.7898989899,2177.470209539805
143,31580.873388042204,2547.9630013835736
144,31326.016853932586,2207.75342658546
145,33079.08045977011,2188.208868229331
146,32891.13473053892,2607.9800055584383
147,32575.51785714286,1800.3713802501916
148,31151.838495575223,1853.7532312852193
149,31447.921472392638,2396.009104874861
150,36107.82034346103,2497.151283585603
151,30673.184581976115,2086.929612106279
152,29468.322274881517,2165.7166617939833
153,25077.77738515901,1923.2630656518581
154,29768.110526315788,2011.2806675283805
155,31603.4,1877.8901969864971
156,30193.088484059856,2346.5702412628375
157,33172.88022028453,2918.5333501428504
158,25774.18648018648,1974.2213909344805
159,29639.652173913044,2298.0817781911433
160,31520.29892473118,2169.0045278483863
